Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3665,4464, APS-275669-002_11,Mss.551.5.M26,275669-2,11,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-11,2 O'Clock,14:00,,,38,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,4465, APS-275669-002_11,Mss.551.5.M26,275669-2,11,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-11,4 O'Clock,16:00,NE,NE,32,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3667,4463, APS-275669-002_11,Mss.551.5.M26,275669-2,11,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-11,sunrise,0:00,NE,NE,24,,,,,,,3,James Madison,"clearing away, snow 3 inches deep",,,,,,y,,,y,,,,,,,,,,,,,,,,,,,,,,,
3668,4467, APS-275669-002_12,Mss.551.5.M26,275669-2,12,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-12,2 O'Clock,14:00,,,32,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,4468, APS-275669-002_12,Mss.551.5.M26,275669-2,12,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-12,4 O'Clock,16:00,S,S,30,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3670,4466, APS-275669-002_12,Mss.551.5.M26,275669-2,12,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-12,sunrise,0:00,SE/NW,SE/NW,9,,,,,,,,James Madison,overcast thin,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3671,4470, APS-275669-002_13,Mss.551.5.M26,275669-2,13,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-13,2 O'Clock,14:00,,,28,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3672,4471, APS-275669-002_13,Mss.551.5.M26,275669-2,13,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-13,4 O'Clock,16:00,NE,NE,27,,,,,,,,James Madison,very cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,4469, APS-275669-002_13,Mss.551.5.M26,275669-2,13,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-13,sunrise,0:00,NE,NE,25.5,,,,,,,,James Madison,round snow & hailing,,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,,,,
3674,4473, APS-275669-002_14,Mss.551.5.M26,275669-2,14,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-14,2 O'Clock,14:00,,,40.5,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
